Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Gardens,0.00,Square feet,100,"4,795.28353",kWh,,,501.10713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Muir Park Gardens,0.00,Square feet,100,"32,226.92805",kWh,"3,597.54427",Cubic meter,"10,169.32830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Gardens,"25,177.00",Square feet,100,"191,287.45466",kWh,"186,080.01893",Cubic meter,"371,799.64317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Greenhouse,"29,170.00",Square feet,100,"276,423.79406",kWh,"214,436.39447",Cubic meter,"434,305.61894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Gardens,"6,243.00",Square feet,100,"272,921.80332",kWh,,,"98,726.56594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craigleigh Gardens,0.00,Square feet,100,"19,088.09208",kWh,,,"1,994.70562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Park Greenhouses,"60,386.00",Square feet,100,"559,194.70030",kWh,"518,697.16503",Cubic meter,"1,039,098.71121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Forrest Gardens,0.00,Square feet,100,930.90517,kWh,,,97.27959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravina Gardens,194.00,Square feet,100,"1,415.51419",kWh,,,147.92123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverlea Greenhouse,"17,018.00",Square feet,100,"129,093.25171",kWh,"84,702.96864",Cubic meter,"173,630.53842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockcliffe GreenHouse,"12,271.00",Square feet,100,"100,315.52250",kWh,"89,078.33565",Cubic meter,"177,809.96390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosetta Mcclain Gardens,"1,098.00",Square feet,100,"32,578.42522",kWh,,,"3,404.44544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agincourt Arena and R.C,"93,398.00",Square feet,100,"2,280,504.61043",kWh,"296,358.08487",Cubic meter,"798,615.32870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibes Park,"18,492.00",Square feet,100,"401,039.44800",kWh,"69,229.64342",Cubic meter,"172,796.05537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennington Heights Clubhouse,"1,432.00",Square feet,100,"8,537.45059",kWh,"3,181.99118",Cubic meter,"6,908.12202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadlands R.C & A.I.R,"10,667.00",Square feet,100,"368,180.49674",kWh,"25,490.35083",Cubic meter,"86,667.60742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial R.C (Ice Galaxy),"102,376.00",Square feet,100,"2,609,281.60710",kWh,"229,265.91529",Cubic meter,"706,126.25757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davisville Park/Tennis,"2,777.00",Square feet,100,"45,381.55080",kWh,"3,387.25606",Cubic meter,"11,462.64870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovercourt B&G Club,"23,971.00",Square feet,100,"238,135.17681",kWh,"76,029.46824",Cubic meter,"168,628.49142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East York Clubhouse,"1,001.00",Square feet,100,"16,962.50127",kWh,"2,348.85177",Cubic meter,"6,213.38395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East York Curling Club House,"17,868.00",Square feet,100,"366,118.14806",kWh,"44,391.54839",Cubic meter,"122,187.20642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke Olympium,"139,995.00",Square feet,100,"1,806,555.88871",kWh,"378,515.06353",Cubic meter,"900,265.79531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Senior Centre,"14,316.00",Square feet,100,"85,939.62167",kWh,"41,279.38933",Cubic meter,"86,832.51512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flemingdon RC & Pool,"34,348.00",Square feet,100,"745,504.40706",kWh,"60,211.88660",Cubic meter,"191,743.42906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Webster Clubhouse,"1,302.00",Square feet,100,"2,726.75074",kWh,"3,224.40065",Cubic meter,"6,379.47441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gord & Irene Risk Arena & R.C,"44,304.00",Square feet,100,"803,649.91277",kWh,"83,874.13882",Cubic meter,"242,556.12735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goulding Arena & R.C,"43,540.00",Square feet,100,"736,624.12194",kWh,"93,705.56251",Cubic meter,"254,139.48728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandravine Arena & R.C,"33,637.00",Square feet,100,"475,310.66113",kWh,"68,934.14970",Cubic meter,"179,998.72873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horner Avenue Senior Centre,"4,252.00",Square feet,100,"29,195.93375",kWh,"5,376.02099",Cubic meter,"13,215.02551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islington Senior Centre,"9,967.00",Square feet,100,"78,569.67200",kWh,"10,136.52400",Cubic meter,"27,374.91668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmie Simpson R.C,"43,906.00",Square feet,100,"1,206,133.02097",kWh,"210,195.56471",Cubic meter,"523,442.31060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Booth Arena & R.C,"27,007.00",Square feet,100,"579,695.44351",kWh,"45,219.89790",Cubic meter,"146,112.89568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph J. Piccininni R.C,"70,030.00",Square feet,100,"1,142,966.03903",kWh,"158,923.03226",Cubic meter,"419,904.12679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Amoreaux C.C,"25,995.00",Square feet,100,"374,725.88500",kWh,,,"409,987.06126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaside Gardens Curling Club,"27,814.00",Square feet,100,"335,454.52477",kWh,"38,420.62909",Cubic meter,"107,694.07655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvern R.C,"106,466.00",Square feet,100,"2,492,552.32419",kWh,"184,001.93733",Cubic meter,"608,350.74865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markdale Rec & Daycare,"1,829.00",Square feet,100,"27,413.65882",kWh,"4,632.46104",Cubic meter,"11,543.45399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matty Eckler R.C,"47,383.00",Square feet,100,"580,644.69774",kWh,"141,834.65257",Cubic meter,"328,833.79460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCormick R.C,"43,099.00",Square feet,100,"1,092,095.81387",kWh,"153,148.55891",Cubic meter,"403,178.12016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milliken Park Rec Center,"17,631.00",Square feet,100,"335,104.25083",kWh,"36,896.07549",Cubic meter,"105,147.62136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriole Arena & R.C,"64,347.00",Square feet,100,"1,398,944.39903",kWh,"80,124.43164",Cubic meter,"297,675.10352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelmo ParkTennis,"2,573.00",Square feet,100,"113,358.75346",kWh,"9,046.27831",Cubic meter,"28,949.12776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleasantview Arena & R.C,"30,559.00",Square feet,100,"839,410.07671",kWh,"135,307.21268",Cubic meter,"343,533.82261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roding Arena & R.C,"30,494.00",Square feet,100,"585,184.01662",kWh,"30,948.09818",Cubic meter,"119,600.89716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Albans Boys Club,"23,293.00",Square feet,100,"276,871.78382",kWh,"78,372.21770",Cubic meter,"177,105.74624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stan Wadlow Clubhouse,"10,323.00",Square feet,100,"99,506.43233",kWh,"16,511.44430",Cubic meter,"41,615.40457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todmorden Mills Butler Building,"17,707.00",Square feet,100,"323,825.69722",kWh,"28,570.21206",Cubic meter,"87,855.39967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topham Park Clubhouse,"3,283.00",Square feet,100,"29,156.23765",kWh,"8,700.52727",Cubic meter,"19,496.27861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trace Manes Clubhouse,"6,329.00",Square feet,100,"46,778.63471",kWh,"14,796.24424",Cubic meter,"32,862.54619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Comm Rec Ctr,"36,909.00",Square feet,100,"751,400.18519",kWh,"263,513.11036",Cubic meter,"576,726.32066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Settlement House R.C,"47,566.00",Square feet,100,"605,931.50807",kWh,"171,498.93769",Cubic meter,"387,560.36465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Acres Senior Ctr,"4,994.00",Square feet,100,"25,061.98061",kWh,"9,614.88235",Cubic meter,"20,797.13315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitlam Warehouse,"24,865.00",Square feet,100,"48,114.90565",kWh,"45,643.42500",Cubic meter,"91,322.69932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willowdale Lawn Bowling,"2,293.00",Square feet,100,"55,450.21412",kWh,"9,668.19224",Cubic meter,"24,073.49266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Arena,"32,658.00",Square feet,100,"419,224.10349",kWh,"30,469.29459",Cubic meter,"101,330.89609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury Arena,"26,942.00",Square feet,100,"705,937.81105",kWh,"96,988.61587",Cubic meter,"256,879.75885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baycrest Arena,"27,060.00",Square feet,100,"531,246.60965",kWh,"66,241.78919",Cubic meter,"180,751.39740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayview Arena,"28,417.00",Square feet,100,"489,374.37782",kWh,"53,789.75705",Cubic meter,"152,818.32594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Arena,"32,001.00",Square feet,100,"1,414,870.28936",kWh,"167,514.54000",Cubic meter,"464,561.45745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Tonks Arena,"23,638.00",Square feet,100,"230,509.06921",kWh,"18,911.68618",Cubic meter,"59,809.90849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummer Arena,"34,348.00",Square feet,100,"1,389,932.37968",kWh,"193,542.35165",Cubic meter,"511,164.32935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don MilIs Arena,"27,857.00",Square feet,100,"502,092.84188",kWh,"60,547.46061",Cubic meter,"166,307.97945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downsview Arena,"34,218.00",Square feet,100,"783,309.20258",kWh,"73,707.38374",Cubic meter,"221,208.98146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East York Arena,"30,257.00",Square feet,100,"835,468.78839",kWh,"49,013.28323",Cubic meter,"179,948.59546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke Centennial Arena,"65,466.00",Square feet,100,"1,980,112.28175",kWh,"73,460.57977",Cubic meter,"345,808.28898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenside Arena,"26,307.00",Square feet,100,"330,069.02482",kWh,"43,802.22196",Cubic meter,"116,856.87744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flemingdon Arena,"25,640.00",Square feet,100,"579,496.33647",kWh,"34,363.11177",Cubic meter,"125,350.21658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hill Memorial Arena,"40,666.00",Square feet,100,"925,000.25671",kWh,"107,565.25925",Cubic meter,"300,028.31023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Bell Arena,"41,786.00",Square feet,100,"516,556.41600",kWh,"44,223.08824",Cubic meter,"137,647.35317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habitant Arena,"26,307.00",Square feet,100,"314,587.20000",kWh,"67,454.40471",Cubic meter,"160,405.48121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert Carnegie Centennial Arena,"42,270.00",Square feet,100,"898,177.15969",kWh,"153,100.74410",Cubic meter,"383,366.57166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambton Park Arena,"24,854.00",Square feet,100,"551,870.82133",kWh,"27,584.71161",Cubic meter,"110,265.50665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Branch Arena,"25,629.00",Square feet,100,"600,627.33701",kWh,"38,108.54261",Cubic meter,"134,768.42508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCormick Arena,"37,082.00",Square feet,100,"1,092,095.81387",kWh,"63,716.21839",Cubic meter,"234,587.61538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimico Arena,"35,607.00",Square feet,100,"587,952.42248",kWh,"38,478.67299",Cubic meter,"134,019.11949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Field Arena,"30,182.00",Square feet,100,"851,774.01827",kWh,"65,349.39310",Cubic meter,"212,675.65617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moss Park Arena,"22,335.00",Square feet,100,"924,171.30506",kWh,"43,886.74000",Cubic meter,"179,549.35696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Toronto Memorial Arena,"44,498.00",Square feet,100,"1,169,014.03445",kWh,"127,951.34414",Cubic meter,"364,121.64651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil White Arena,"25,941.00",Square feet,100,"667,548.87160",kWh,"22,732.90726",Cubic meter,"112,738.67509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Point Arena,"32,001.00",Square feet,100,"581,936.67829",kWh,"29,331.75879",Cubic meter,"116,330.65277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough Arena Gardens,"38,320.00",Square feet,100,"806,299.75882",kWh,"64,987.17000",Cubic meter,"207,124.82305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Village Arena,"33,637.00",Square feet,100,"865,154.01000",kWh,"63,401.38129",Cubic meter,"210,294.26080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Mills Arena,"23,573.00",Square feet,100,"484,144.03478",kWh,"30,133.64607",Cubic meter,"107,433.35471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas Snow Aquatic Center,"40,666.00",Square feet,100,"934,859.85484",kWh,"307,224.22646",Cubic meter,"678,539.27244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gus Ryder Pool and Health Club,"21,097.00",Square feet,100,"814,666.87333",kWh,"201,900.89955",Cubic meter,"466,851.98027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Pool,"15,263.00",Square feet,100,"202,420.69543",kWh,"93,274.48629",Cubic meter,"197,500.22486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.H Armstrong R.C,"18,277.00",Square feet,100,"188,251.97196",kWh,"36,942.06286",Cubic meter,"89,515.99254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Elms Pool and Community School,"13,885.00",Square feet,100,"488,865.16235",kWh,"94,101.67879",Cubic meter,"228,997.58413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace-Emerson C.C,"51,882.00",Square feet,100,"938,745.70452",kWh,"99,126.84294",Cubic meter,"285,510.81181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Avenue Lab,"14,994.00",Square feet,70,"1,453,458.94387",kWh,"69,873.25059",Cubic meter,"283,990.71377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beare Road Landfill,"5,942.00",Square feet,70,"133,646.13546",kWh,,,"13,966.02116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock West Landfill,"10,764.00",Square feet,70,"174,832.91302",kWh,,,"18,265.10887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donlands Landfill,603.00,Square feet,70,"55,016.65004",kWh,,,"5,749.23993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keele Valley Landfill,"10,764.00",Square feet,70,"542,675.13234",kWh,,,"56,701.43298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bendale Acres,"210,327.00",Square feet,168,"3,739,410.63323",kWh,"631,203.52004",Cubic meter,"1,584,138.82865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carefree Lodge,"67,490.00",Square feet,168,"1,271,409.78065",kWh,"120,503.15339",Cubic meter,"360,688.83746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castleview Wychwood Towers,"294,447.00",Square feet,168,"5,371,518.71074",kWh,"312,686.78844",Cubic meter,"1,152,497.79003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummer Lodge,"243,200.00",Square feet,168,"5,179,761.69004",kWh,"638,335.48439",Cubic meter,"1,748,139.39845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fudger House,"118,995.00",Square feet,168,"1,871,368.04645",kWh,"411,853.75572",Cubic meter,"974,219.79147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kipling Acres,"184,590.00",Square feet,168,"2,188,154.44484",kWh,"742,857.28929",Cubic meter,"1,648,355.13366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeshore Lodge,"88,964.00",Square feet,168,"1,605,352.45516",kWh,"175,814.39822",Cubic meter,"500,158.77983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Oaks,"133,311.00",Square feet,168,"2,678,732.53355",kWh,"403,303.60118",Cubic meter,"1,042,424.22734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Davidson Acres,"130,082.00",Square feet,168,"2,455,231.56702",kWh,"376,815.79353",Cubic meter,"968,897.72195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesburn Manor,"150,867.00",Square feet,168,"2,080,137.48766",kWh,"433,129.18387",Cubic meter,"1,036,260.09697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbotsford Park,0.00,Square feet,100,"1,448.15542",kWh,,,151.33224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Park,0.00,Square feet,100,"146,145.91634",kWh,,,"15,272.24826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Standing Park,0.00,Square feet,100,"28,542.20294",kWh,,,"2,982.66021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldwych Park,0.00,Square feet,100,"35,660.91318",kWh,,,"3,726.56543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Duff Pool,0.00,Square feet,100,"517,168.33404",kWh,"29,038.98899",Cubic meter,"108,938.76294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Park,"22,873.00",Square feet,100,"346,582.16368",kWh,,,"36,217.83610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan A Lamport Stadium,"16,297.00",Square feet,100,"713,512.48703",kWh,"312,872.86970",Cubic meter,"666,087.94991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury Park,0.00,Square feet,100,"25,305.78232",kWh,,,"2,644.45425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos Waites Park,"1,356.00",Square feet,100,"119,207.16768",kWh,,,"12,457.14902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Square,0.00,Square feet,100,"43,174.62651",kWh,,,"4,511.74847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anniversary Park,0.00,Square feet,100,"4,137.19494",kWh,,,432.33687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Eggleton Park,0.00,Square feet,100,"1,460.51948",kWh,,,152.62429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashbridges Bay Park,721.00,Square feet,100,"51,945.13828",kWh,,,"5,428.42745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashtonbee Reservoir Park,0.00,Square feet,100,"3,268.05500",kWh,,,341.51175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avondale Park,0.00,Square feet,100,"3,293.06324",kWh,,,344.12511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avonshire Park,0.00,Square feet,100,541.22839,kWh,,,56.55837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avonshire Parkette,0.00,Square feet,100,36.08000,kWh,,,3.77036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baird Park W.Pool,"1,970.00",Square feet,100,"23,425.70156",kWh,"6,045.92258",Cubic meter,"13,878.57597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathurst-Wilson Parkette,0.00,Square feet,100,353.19441,kWh,,,36.90882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaty Ave Parkette,0.00,Square feet,100,"2,272.41061",kWh,,,237.46691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaty Parkette,0.00,Square feet,100,"6,363.87667",kWh,,,665.02511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellbury A.I.R,"2,303.00",Square feet,100,"34,469.96286",kWh,,,"3,602.11112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berczy Park,0.00,Square feet,100,"67,665.87748",kWh,,,"7,071.08420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beresford Park,183.00,Square feet,100,"15,571.38303",kWh,,,"1,627.20953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bestview Park,0.00,Square feet,100,"13,697.79509",kWh,,,"1,431.41959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchmount Stadium,0.00,Square feet,100,"211,360.02245",kWh,,,"22,087.12235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blantyre Pool,"1,819.00",Square feet,100,"54,780.96930",kWh,"4,500.00000",Cubic meter,"14,232.43279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloordale Park,0.00,Square feet,100,"78,395.94750",kWh,,,"8,192.37651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluffers Park,"5,253.00",Square feet,100,"3,115,702.70613",kWh,,,"325,590.93279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bond Park Baseball,"1,625.00",Square feet,100,"585,921.29472",kWh,,,"61,228.77530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough of North York Park,0.00,Square feet,100,"60,918.81649",kWh,"2,840.88573",Cubic meter,"11,651.67986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botanyhill Park,0.00,Square feet,100,"7,696.60000",kWh,,,804.29470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briar Crest Park,0.00,Square feet,100,"4,040.79706",kWh,,,422.26329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridlewood Park,"2,433.00",Square feet,100,"14,404.01534",kWh,,,"1,505.21960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookbanks Park,861.00,Square feet,100,"207,893.95414",kWh,,,"21,727.66693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Sibelius Square,183.00,Square feet,100,"1,357.62549",kWh,,,"1,002.71256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
