Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellesley Jarvis Office,"52,108.00",Square feet,70,"1,438,166.53419",kWh,,,"150,288.40282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western District Office,"4,844.00",Square feet,70,"20,734.59603",kWh,"12,977.99227",Cubic meter,"26,703.30787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Civic Center,"72,915.00",Square feet,70,"1,592,277.73875",kWh,"159,402.31362",Cubic meter,"468,071.22170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulance Headquarters,"143,494.00",Square feet,168,"3,546,045.84645",kWh,"240,087.81796",Cubic meter,"824,478.30195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMS Workshop West,"1,658.00",Square feet,168,"12,995.59100",kWh,"6,690.38824",Cubic meter,"14,007.06790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE District Office / Station #20,"7,782.00",Square feet,168,"275,676.22559",kWh,"17,879.97588",Cubic meter,"62,612.53074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NW District Office & Garage,"13,153.00",Square feet,168,"152,405.85565",kWh,"23,635.81412",Cubic meter,"60,612.92026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #10,"5,005.00",Square feet,168,"81,590.43432",kWh,"13,438.76422",Cubic meter,"33,926.27362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #11,"3,574.00",Square feet,168,"36,434.77573",kWh,"17,404.04205",Cubic meter,"36,711.98588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #12,"1,938.00",Square feet,168,"35,594.20824",kWh,"2,036.16941",Cubic meter,"6,996.29602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #13,"2,756.00",Square feet,168,"25,071.09063",kWh,"11,239.24970",Cubic meter,"23,869.15791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #14,"4,252.00",Square feet,168,"58,539.84485",kWh,"12,238.04941",Cubic meter,"29,255.00043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #19,"1,367.00",Square feet,168,"20,597.97265",kWh,"3,347.25012",Cubic meter,"8,480.88960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #22,"2,583.00",Square feet,168,"41,987.98625",kWh,"5,450.61497",Cubic meter,"14,692.82440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #24,"2,659.00",Square feet,168,"27,193.94680",kWh,"6,833.13943",Cubic meter,"15,760.68534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #28,"1,905.00",Square feet,168,"42,305.98529",kWh,"11,887.62743",Cubic meter,"26,896.04484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #31,"2,831.00",Square feet,168,"39,641.40653",kWh,"7,832.33155",Cubic meter,"18,950.54449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station #32,"3,218.00",Square feet,168,"19,138.97799",kWh,"4,945.60844",Cubic meter,"11,350.32404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
