Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
Edithvale C.C,24725,Square feet,100,630567.8548,kWh,47696.27597,Cubic meter,"150,735.6"
Ellesmere C.C,24402,Square feet,100,256851.6357,kWh,26866.95679,Cubic meter,"75,463.4"
Elmbank Community Centre,14725,Square feet,100,258242.1342,kWh,33161.81476,Cubic meter,"87,498.2"
Fairbank Memorial R.C.,19364,Square feet,100,317372.0442,kWh,32211.41887,Cubic meter,"91,380.2"
Fairmount Park C.R.C,4359,Square feet,100,12990.54904,kWh,,,"1,247.6"
Falstaff C.C,13853,Square feet,100,155616.598,kWh,26348.19697,Cubic meter,"64,760.0"
Flemingdon C.C,10000,Square feet,100,111604.7431,kWh,22060.71945,Cubic meter,"52,427.1"
Forest Hill C.C,32841,Square feet,100,660312.0774,kWh,45405.58944,Cubic meter,"149,261.4"
Franklin Horner,39500,Square feet,100,233612.2902,kWh,88340.95083,Cubic meter,"189,455.9"
Glenlong C.C & A.I.R,10236,Square feet,100,399383.1544,kWh,33886.89544,Cubic meter,"102,424.2"
Good Neighbours Club C.C,8127,Square feet,100,,,14284.50727,Cubic meter,"27,006.7"
Harbourfront Community Centre,123214,Square feet,100,1251377.269,kWh,101689.5286,Cubic meter,"312,439.2"
Harwood Hall Community Ctr,4306,Square feet,100,19900.80788,kWh,8913.812187,Cubic meter,"18,764.0"
Heron Park C.C,52377,Square feet,100,1157734.548,kWh,80192.14195,Cubic meter,"262,802.3"
Jenner Jean-Marie C.C.,13207,Square feet,100,133274.6444,kWh,27298.61742,Cubic meter,"64,411.2"
Keele C.C,10000,Square feet,100,12049.77,kWh,,,"1,157.3"
Lamp Senior Centre,26318,Square feet,100,471429.6585,kWh,39171.46309,Cubic meter,"119,334.7"
Lawrence Heights C.C.,22152,Square feet,100,234098.775,kWh,42500.13425,Cubic meter,"102,834.7"
Ledbury Community Center,5780,Square feet,100,209548.587,kWh,13131.53257,Cubic meter,"44,951.9"
Leslie Grove Park,1389,Square feet,100,4822.925574,kWh,3716.597647,Cubic meter,"7,489.9"
Main Square Comm Ctr,35123,Square feet,100,611587.148,kWh,90846.70284,Cubic meter,"230,494.1"
Masaryk-Cowan C.R.C,32270,Square feet,100,643412.0949,kWh,32361.35605,Cubic meter,"122,976.6"
McGregor Park C.C,45262,Square feet,100,1177209.724,kWh,70862.02118,Cubic meter,"247,032.9"
Metro Track And Field,96337,Square feet,100,629770.5806,kWh,86196.55323,Cubic meter,"223,448.7"
Mid-Scarborough C.C,89125,Square feet,100,1630442.581,kWh,124277.7893,Cubic meter,"391,550.6"
Mount Dennis Community Ctr,3003,Square feet,100,44004.96787,kWh,3156.958333,Cubic meter,"10,194.9"
New Tor Seniors Club,3025,Square feet,100,54323.59142,kWh,,,"5,217.2"
Niagara C.C,5296,Square feet,100,207709.6246,kWh,,,"19,948.4"
North Toronto Mem Rec Ctr,74820,Square feet,100,1723828.065,kWh,215932.1419,Cubic meter,"573,803.6"
North York Memorial Hall,10473,Square feet,100,513437.8503,kWh,10964.19678,Cubic meter,"70,039.8"
Northwood C.C,36167,Square feet,100,312413.0341,kWh,43365.75139,Cubic meter,"111,992.6"
Oakdale Community Center,10000,Square feet,100,224120.5516,kWh,17990.95302,Cubic meter,"55,538.7"
Oakridge C.C,18600,Square feet,100,287193.9947,kWh,22671.05342,Cubic meter,"70,444.6"
O'Connor C.C,16254,Square feet,100,284780.1544,kWh,29165.70872,Cubic meter,"82,491.8"
Ourland Community Ctr,9451,Square feet,100,192420.2,kWh,21009.02545,Cubic meter,"58,200.3"
Port Union C.C,19978,Square feet,100,464496.2942,kWh,24884.31014,Cubic meter,"91,657.2"
