Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
High Park Tennis Club,0,Square feet,100,66741.51179,kWh,7905.988871,Cubic meter,"21,357.1"
Highland Creek Bwlng,0,Square feet,100,289.42936,kWh,,,27.8
Highview Park,0,Square feet,100,37456.50464,kWh,,,"3,597.3"
Hillcrest Park,1604,Square feet,100,60548.81705,kWh,988.881906,Cubic meter,"7,684.7"
Hinder Property,1012,Square feet,100,68970.85294,kWh,,,"6,624.0"
Hodgson School,2874,Square feet,100,383566.0131,kWh,4037.090909,Cubic meter,"44,470.3"
Hollywood Park Tennis,1668,Square feet,100,26740.64706,kWh,4377.826322,Cubic meter,"10,845.0"
Home Smith Park Wr,431,Square feet,100,19253.67344,kWh,,,"1,849.1"
HTO Park,0,Square feet,100,43466.14684,kWh,,,"4,174.5"
Humber Bay Park East,2551,Square feet,100,127767.5315,kWh,,,"12,270.8"
Humber Bay Park West,3875,Square feet,100,67186.66347,kWh,3651.673625,Cubic meter,"13,356.6"
Humber Bay Park West Trail,0,Square feet,100,49568.52887,kWh,,,"4,760.6"
Humber Valley Gc Serv.bldg,4080,Square feet,100,59329.32118,kWh,,,"5,698.0"
Humber Valley Golf Course,4327,Square feet,100,79719.65993,kWh,32501.40394,Cubic meter,"69,104.3"
Humber Valley Rink,0,Square feet,100,195568.1439,kWh,7906.454545,Cubic meter,"33,730.5"
Iroquois Fieldhouse,0,Square feet,100,11398.61765,kWh,,,"1,094.7"
Jack Goodlad Park,2271,Square feet,100,77240.15333,kWh,1202.126623,Cubic meter,"9,690.9"
James Gardens,2411,Square feet,100,30735.24054,kWh,5471.076471,Cubic meter,"13,295.6"
Jean Augustine Park,0,Square feet,100,7683.5,kWh,,,737.9
Jeff Healey Park,0,Square feet,100,2467.380953,kWh,,,237.0
Jonathan Ashbridge Park,0,Square feet,100,9113.999998,kWh,,,875.3
Keelesdale Park,0,Square feet,100,311817.4236,kWh,,,"29,946.9"
Kew Gardens Outdoor Rink,797,Square feet,100,331551.8315,kWh,0,Cubic meter,"31,842.2"
Kew Gardens Park,18406,Square feet,100,323750.6806,kWh,6786.121855,Cubic meter,"43,923.0"
Kirkwood Park T.C,0,Square feet,100,14243.21008,kWh,,,"1,367.9"
Kiwanis Pool Change Rooms,2939,Square feet,100,79661.92857,kWh,,,"7,650.7"
Knob Hill Park-ODP,3255,Square feet,100,18615.02941,kWh,,,"1,787.8"
Lake Front Boat Hse,0,Square feet,100,14726.61749,kWh,,,"1,414.3"
Lambton Kingsway Pool/Rink,1076,Square feet,100,36057.20588,kWh,,,"3,462.9"
Langford Parkette,0,Square feet,100,910.415674,kWh,,,87.4
Lanyard Park - Flood Lights,0,Square feet,100,16064.81933,kWh,,,"1,542.9"
Laughton Av Playground,0,Square feet,100,4853.133332,kWh,,,466.1
Leaside Lawn Bowling Club,2207,Square feet,100,9682.353535,kWh,,,929.9
Leaside Park Pool,5662,Square feet,100,43700.22066,kWh,4376.773119,Cubic meter,"12,471.8"
Leonard Linton Park,0,Square feet,100,2645.441176,kWh,,,254.1
Lillian Park,0,Square feet,100,3985.731558,kWh,,,382.8
Lithuania Park,1582,Square feet,100,6952.211513,kWh,0,Cubic meter,667.7
Little Norway Park,2540,Square feet,100,92662.66447,kWh,,,"8,899.3"
Long Branch Park,0,Square feet,100,192.222581,kWh,,,18.5
Lora Hill Park,0,Square feet,100,2095.673797,kWh,,,201.3
Lytton Park,4306,Square feet,100,23399.8815,kWh,,,"2,247.3"
Lytton Park Bowling Club,3229,Square feet,100,2073.069444,kWh,,,199.1
MacGregor Park,0,Square feet,100,19364.20588,kWh,,,"1,859.7"
Mainland Ferry Terminal,6135,Square feet,100,570186.5382,kWh,6559.11625,Cubic meter,"67,161.6"
Malta Park,0,Square feet,100,454.39394,kWh,,,43.6
Manchester Park,0,Square feet,100,6500.103437,kWh,,,624.3
Maple Leaf A.I.R,2303,Square feet,100,64016.07217,kWh,,,"6,148.1"
Maple Leaf Quay Park,0,Square feet,100,21529.50061,kWh,,,"2,067.7"
Marie Curtis Park,3014,Square feet,100,29950.64815,kWh,,,"2,876.5"
Martin Grove Gardens Park,0,Square feet,100,3200.4375,kWh,,,307.4
Martin Grove Rink (outdoor),4435,Square feet,100,181850.3788,kWh,10040.42246,Cubic meter,"36,447.6"
Maryland Park Tennis Clubhouse,0,Square feet,100,17522.50123,kWh,,,"1,682.9"
Maryvale Park,5100,Square feet,100,54043.46978,kWh,5542.822452,Cubic meter,"15,669.7"
McCleary Park,603,Square feet,100,6260.758681,kWh,,,601.3
McNicoll Park,0,Square feet,100,13165.4375,kWh,,,"1,264.4"
Mel Lastman Square,0,Square feet,100,343832.1703,kWh,,,"33,021.6"
Memorial Park,0,Square feet,100,30118.61558,kWh,,,"2,892.6"
Milliken Concession,4004,Square feet,100,170244.0556,kWh,,,"16,350.2"
Millwood Park,0,Square feet,100,12457.32353,kWh,,,"1,196.4"
Mimico Memorial Park,0,Square feet,100,6816.372813,kWh,,,654.6
Moatfield Farm Park,0,Square feet,100,26707.32353,kWh,,,"2,565.0"
Monarch Park,22787,Square feet,100,28709.3125,kWh,,,"2,757.2"
Monarch Park S.Pool,0,Square feet,100,47986.6696,kWh,42261.62706,Cubic meter,"84,509.6"
Moorevale Park,2390,Square feet,100,24129.3336,kWh,287.575758,Cubic meter,"2,861.1"
Morningside Park,4392,Square feet,100,69306.78928,kWh,,,"6,656.2"
Morse St Playground,0,Square feet,100,2009.507246,kWh,,,193.0
Mt Pleasant Parkette,0,Square feet,100,9763.598753,kWh,,,937.7
Muirhead Park,0,Square feet,100,9931.666668,kWh,,,953.8
Murison Woods Park,0,Square feet,100,4579.253125,kWh,,,439.8
Neilson Park,3251,Square feet,100,110534.0028,kWh,4525.412488,Cubic meter,"19,171.6"
North Humber Park Lighting,0,Square feet,100,109.892638,kWh,,,10.6
Northwood Park,850,Square feet,100,15407.22772,kWh,,,"1,479.7"
Norwood Park,1905,Square feet,100,8895.588205,kWh,5289.848713,Cubic meter,"10,855.5"
Old Mills Tennis,0,Square feet,100,5275.333333,kWh,,,506.6
Olympic Island Buildings,4725,Square feet,100,44017.6268,kWh,,,"4,227.5"
Oriole Park WR,377,Square feet,100,10075.11111,kWh,,,967.6
Osler Playground,183,Square feet,100,7205.555612,kWh,,,692.0
Otter Creek Park,3035,Square feet,100,247346.6554,kWh,,,"23,755.2"
Ourland Pool (outdoor),1098,Square feet,100,41705.84314,kWh,,,"4,005.4"
Pantry Park / Beaches Park,7373,Square feet,100,68783.19641,kWh,,,"6,605.9"
Pape Ave Playground,0,Square feet,100,7872.642857,kWh,,,756.1
Parklawn Pool/Rink,5210,Square feet,100,458890.9835,kWh,40516.93548,Cubic meter,"120,674.3"
Perth Ave Square,0,Square feet,100,2733.226191,kWh,,,262.5
Perth Square Park WR,560,Square feet,100,2514.053309,kWh,,,241.4
Phin Ave Parkette,0,Square feet,100,7278.226667,kWh,,,699.0
Pine Point C.C & Pool,17265,Square feet,100,49081.21823,kWh,,,"4,713.8"
Pine Point Park,24197,Square feet,100,32868.64706,kWh,,,"4,752.1"
Pine Point Park,0,Square feet,100,16611.94353,kWh,,,"4,752.1"
Pine Point Park Tennis,1755,Square feet,100,2788.460318,kWh,,,267.8
Poplar Plains Parkette,0,Square feet,100,1367.860863,kWh,,,131.4
Port Union Village Comm Park,15300,Square feet,100,28877.74813,kWh,,,"2,773.4"
Prairie Drive Park,0,Square feet,100,7276.647059,kWh,,,698.8
Prince Of Wales Rink (outdoor),1970,Square feet,100,220894.2636,kWh,7571.172667,Cubic meter,"35,528.9"
Queensway Rink,0,Square feet,100,146935.3238,kWh,3243.92685,Cubic meter,"20,244.7"
Ramsden Park,3434,Square feet,100,233953.0797,kWh,8173.723636,Cubic meter,"37,922.3"
Regent Park North Rink,2153,Square feet,100,216828.3011,kWh,,,"20,824.2"
Regent Park South Rink,2519,Square feet,100,261601.4425,kWh,,,"25,124.2"
Rennie Park /Ice Rink,0,Square feet,100,516504.3412,kWh,,,"49,605.1"
Rennie Park /Tennis,0,Square feet,100,90995.47552,kWh,,,"8,739.2"
Richmond Gardens Pool (outdoor h,2594,Square feet,100,40005.3425,kWh,,,"3,842.1"
Richview Park,0,Square feet,100,16997,kWh,,,"1,632.4"
Rivercrest Rink,495,Square feet,100,146437.6471,kWh,,,"14,063.9"
Riverdale Park East,23401,Square feet,100,531350.0045,kWh,57908.85294,Cubic meter,"160,514.9"
Riverdale Park West,0,Square feet,100,296884.2137,kWh,1.101125,Cubic meter,"28,514.8"
Riverview Gdns Park,0,Square feet,100,15905.7054,kWh,,,"1,527.6"
Rosedale Park,4575,Square feet,100,175019.2767,kWh,1438.265455,Cubic meter,"19,528.1"
Rosethorn Park,0,Square feet,100,5826.822579,kWh,,,559.6
Rotary Peace Park,1647,Square feet,100,10167,kWh,1184.287932,Cubic meter,"3,215.5"
Rotary Pool (outdoor),3477,Square feet,100,50505.6875,kWh,,,"4,850.6"
Rouge Beach Park,6975,Square feet,100,26906.98272,kWh,,,"2,584.1"
Roundhouse Park,0,Square feet,100,23211.56067,kWh,,,"2,229.2"
Rowntree Mills Park,1389,Square feet,100,83004.63081,kWh,,,"7,971.8"
Roxborough Parkette,0,Square feet,100,12584.43441,kWh,,,"1,208.6"
Royalcrest Rink (outdoor),2508,Square feet,100,172061.4969,kWh,,,"16,524.8"
Roywood A.I.R,2303,Square feet,100,90724.32895,kWh,,,"8,713.2"
Ruddington Park,0,Square feet,100,5893,kWh,,,566.0
Runnymede Park,0,Square feet,100,26013.53927,kWh,,,"2,498.3"
Ryerson Community Park,1421,Square feet,100,319969.6099,kWh,,,"30,729.9"
SADRA Park,0,Square feet,100,454.39394,kWh,,,43.6
Salem Parkette,0,Square feet,100,41317.45739,kWh,,,"3,968.1"
Scarborough Bluffs,97,Square feet,100,7238.794118,kWh,,,695.2
Scarborough Village Fieldhouse,0,Square feet,100,17212.79412,kWh,,,"1,653.1"
Scarlett Woods Golf Course,3348,Square feet,100,38151.5,kWh,10521.23667,Cubic meter,"23,555.8"
Seneca Hill Park,0,Square feet,100,6793.146824,kWh,,,652.4
Sentinel Park Baseball,2443,Square feet,100,17796.71414,kWh,,,"1,709.2"
Seven Oaks Tennis,0,Square feet,100,12738.8125,kWh,,,"1,223.4"
Sherwood Park,5909,Square feet,100,91967.46376,kWh,,,"8,832.6"
Sir Adam Beck Rink,2196,Square feet,100,171661.4464,kWh,4467.840314,Cubic meter,"24,933.4"
Sir Winston Churchill Pk,0,Square feet,100,55182.18701,kWh,5482.945235,Cubic meter,"15,665.9"
Smithfield Pool (outdoor),850,Square feet,100,19114.29701,kWh,,,"1,835.7"
Smythe Park,3000,Square feet,100,95653.90305,kWh,,,"9,186.6"
Spadina Road Parkette,0,Square feet,100,5923.890082,kWh,,,568.9
Spenvalley Park T.C,0,Square feet,100,2886.618254,kWh,,,277.2
St Andrew's Playground,194,Square feet,100,9342.490645,kWh,,,897.3
St Jamestown West Park,0,Square feet,100,1823.988095,kWh,,,175.2
Stanley Park,4855,Square feet,100,11017.19962,kWh,2277.018458,Cubic meter,"5,363.1"
Strathburn Park,0,Square feet,100,2228.058824,kWh,,,214.0
Summerlea Rink,0,Square feet,100,155288.2941,kWh,,,"14,913.9"
Sunnybrook Stable,7535,Square feet,100,53360.53658,kWh,2865.269794,Cubic meter,"10,541.9"
Sunnydale Rink (outdoor),3509,Square feet,100,252164.5904,kWh,20643.08146,Cubic meter,"63,246.3"
Sunnyside Park,52033,Square feet,100,264873.8377,kWh,27157.33333,Cubic meter,"76,782.9"
Suydam Park Storage,194,Square feet,100,910.315229,kWh,,,87.4
Sweeney Park,0,Square feet,100,13214.07656,kWh,,,"1,269.1"
Talbot Park Clubhouse,2820,Square feet,100,18269.18765,kWh,,,"1,754.6"
Tam O'shanter Golf Course,4489,Square feet,100,133408.1176,kWh,14374.70335,Cubic meter,"39,989.7"
The Mission Ground,0,Square feet,100,2278.711806,kWh,,,218.8
Thomas Riley Park,2777,Square feet,100,38932,kWh,,,"3,739.0"
Thomson Memorial Park,0,Square feet,100,185119.1341,kWh,6054.807143,Cubic meter,"29,226.2"
Three Valley Park,0,Square feet,100,5863.943043,kWh,,,563.2
Toronto Sculpture Garden,8773,Square feet,100,25505.7382,kWh,,,"2,449.6"
Tournament Park Tennis,1259,Square feet,100,17300.66433,kWh,,,"1,661.6"
Trinity Bellwoods Outdoor Rink,1001,Square feet,100,176892.7353,kWh,868.147977,Cubic meter,"18,630.1"
Trinity Square Park,0,Square feet,100,69411.47736,kWh,,,"6,666.3"
Valleyfield Rink (outdoor),0,Square feet,100,129591.3168,kWh,,,"12,446.0"
Viewmount Park Tennis,1916,Square feet,100,66288.89588,kWh,,,"6,366.4"
Vine Avenue Playground,0,Square feet,100,22020.87996,kWh,,,"2,114.9"
Wanless Park,0,Square feet,100,43501.29616,kWh,160.547201,Cubic meter,"4,481.4"
Wards Island Buildings,0,Square feet,100,15420.21961,kWh,6143.560606,Cubic meter,"13,096.1"
Wedgewood Rink (outdoor),1550,Square feet,100,197279.6703,kWh,2777.336,Cubic meter,"24,197.6"
Wellesley Park,23000,Square feet,100,12307.71429,kWh,,,"1,182.0"
Wellesworth Park,0,Square feet,100,1228.999999,kWh,,,118.0
West Deane Park,0,Square feet,100,17714.91667,kWh,,,"1,701.3"
West Deane Pool (outdoor),1098,Square feet,100,27028.75422,kWh,,,"2,595.8"
West Humber Parkland,1163,Square feet,100,47050.39044,kWh,,,"4,518.7"
West Mall Rink (outdoor),5726,Square feet,100,514886.8275,kWh,29065.44005,Cubic meter,"104,401.6"
Westgrove Pool (outdoor),1055,Square feet,100,30705.41904,kWh,,,"2,948.9"
Westmount Park,0,Square feet,100,1460.3125,kWh,,,140.2
Weston Park,3250,Square feet,100,35710.0451,kWh,,,"3,429.6"
Westway Rink (outdoor),3714,Square feet,100,114707.9597,kWh,16310.45353,Cubic meter,"41,853.5"
Westwood Park,0,Square feet,100,2879.735294,kWh,,,276.6
Wexford Park,0,Square feet,100,744,kWh,,,71.5
Wilket Creek Park,0,Square feet,100,55368.45536,kWh,,,"5,317.6"
Willowdale Park Tennis,0,Square feet,100,5771.588897,kWh,,,554.3
Willowvale Park,0,Square feet,100,28100.01681,kWh,,,"2,698.7"
Winchester Park North,0,Square feet,100,1843.988095,kWh,,,177.1
Wishing Well Park,0,Square feet,100,53348.26374,kWh,,,"5,123.6"
Withrow Park,7287,Square feet,100,125109,kWh,11508.11714,Cubic meter,"33,773.0"
Woburn Ave Playground,0,Square feet,100,1769.777778,kWh,,,170.0
Woburn Park,0,Square feet,100,1011.068015,kWh,,,97.1
Woodbine Beach Park,7535,Square feet,100,12564.08929,kWh,,,"1,206.7"
Woodbine Park,0,Square feet,100,106904.7389,kWh,,,"10,267.1"
York Mills Valley Park,0,Square feet,100,26942.26376,kWh,,,"2,587.5"
Zooview Park,0,Square feet,100,2657.515873,kWh,,,255.2
Adelaide Street Office,15888,Square feet,168,201647.4058,kWh,32709.3339,Cubic meter,"81,207.4"
Asquith Green Social Housing,6329,Square feet,168,120715.8853,kWh,8687.807793,Cubic meter,"28,019.0"
Assessment & Referral Ctr (129 Peter),11780,Square feet,168,252823.7227,kWh,29340.44942,Cubic meter,"79,753.0"
Birchmount Residence,5199,Square feet,168,251381.8726,kWh,61356.95185,Cubic meter,"140,145.8"
Downsview Dell,5199,Square feet,168,138213.9407,kWh,,,"13,274.1"
Family Residence,39999,Square feet,168,360667.3515,kWh,9708.302204,Cubic meter,"52,993.3"
Fort York Residence,25995,Square feet,168,412043.1337,kWh,64497.82637,Cubic meter,"161,514.0"
Greenfield Family Centre,7384,Square feet,168,59326.02861,kWh,6697.063883,Cubic meter,"18,359.3"
Robertson House,19795,Square feet,168,539610.5167,kWh,83886.51,Cubic meter,"210,422.3"
Seaton House,97995,Square feet,168,1420834.488,kWh,506754.2326,Cubic meter,"1,094,540.2"
Women's Residence,28255,Square feet,168,505993.7669,kWh,86335.35432,Cubic meter,"211,823.6"
Bloor Islington Storm Pumping Station,0,Square feet,168,19902.75,kWh,,,"1,911.5"
Eglinton-Bellamy Storm Pumping Station,0,Square feet,168,19776.5511,kWh,,,"1,899.3"
Islington Storm Pumping Station,0,Square feet,168,51715.795,kWh,,,"4,966.8"
North Queen St Storm Pumping Station,0,Square feet,168,7931.046044,kWh,2268.631524,Cubic meter,"5,050.8"
Pantry Park Storm Pumping Station,0,Square feet,168,7434.76904,kWh,,,714.0
0 Wickman Rd-Near Fordhs,0,Square feet,70,248783.6319,kWh,,,"23,893.2"
Allen Road,0,Square feet,70,613573.4188,kWh,,,"58,927.6"
Don Valley Parkway,0,Square feet,70,2651966.774,kWh,,,"254,694.9"
Gardiner Expressway,0,Square feet,70,1842223.019,kWh,,,"176,927.1"
Sidney Belsey Cres Unit Strltg,0,Square feet,70,9649.977273,kWh,,,926.8
St James Town,0,Square feet,70,2135.210084,kWh,,,205.1
Streetlighting East York,0,Square feet,70,4570858.839,kWh,,,"438,985.3"
Streetlighting Etobicoke,0,Square feet,70,18771344.12,kWh,,,"1,802,799.9"
Streetlighting North York,0,Square feet,70,31132600.94,kWh,,,"2,989,975.0"
Streetlighting Scarborough,0,Square feet,70,28723102.29,kWh,,,"2,758,566.7"
Streetlighting Toronto,0,Square feet,70,28759297.93,kWh,,,"2,762,043.0"
Streetlighting York,0,Square feet,70,4489923.323,kWh,,,"431,212.2"
Toronto Island Street Lighting,0,Square feet,70,94794,kWh,,,"9,104.0"
Bermondsey Transfer Station,48976,Square feet,70,1000613.803,kWh,8807.20706,Cubic meter,"112,750.1"
Commissioners St Transfer Stn,76424,Square feet,70,718949.8404,kWh,107293.8125,Cubic meter,"271,900.5"
Disco Road Transfer Station,57049,Square feet,70,2438463.868,kWh,21221.00218,Cubic meter,"274,311.1"
Dufferin Transfer Station,120663,Square feet,70,4429253.754,kWh,84504.76668,Cubic meter,"585,152.5"
Ingram Drive Transfer Station,112268,Square feet,70,1299703.386,kWh,46431.04577,Cubic meter,"212,607.3"
Scarborough Transfer Station,96595,Square feet,70,2439032.939,kWh,66312.95758,Cubic meter,"359,617.8"
Victoria Park Transfer Station,83959,Square feet,70,798886.9639,kWh,61714.60268,Cubic meter,"193,404.4"
Union Station,779167,Square feet,168,13730020.94,kWh,102123.9,Cubic meter,"2,793,367.8"
Sony Centre,173084,Square feet,100,2176737.194,kWh,,,"275,090.0"
St Lawrence Centre,80729,Square feet,100,1593447.083,kWh,,,"351,907.2"
Toronto Centre for the Arts,177992,Square feet,100,2216109.978,kWh,128426.1463,Cubic meter,"455,641.1"
#11 Police Division - NEW,89610,Square feet,168,1140675.494,kWh,35127.69303,Cubic meter,"175,963.8"
#12 Police Division,25780,Square feet,168,572426.7905,kWh,5940.627155,Cubic meter,"66,207.4"
#13 Police Division,20344,Square feet,168,539722.4004,kWh,40660.34667,Cubic meter,"128,708.5"
#14 Police Division - NEW,84895,Square feet,168,683308.0968,kWh,,,"65,624.9"
#21 Police Division,7492,Square feet,168,160332.6899,kWh,12397.50392,Cubic meter,"38,837.4"
#22 Police Division,32270,Square feet,168,524528.6706,kWh,65915.14671,Cubic meter,"174,996.7"
#23 Police Division,13616,Square feet,168,256196.8824,kWh,22773.95855,Cubic meter,"67,662.2"
#23 Police Division New,55972,Square feet,168,914262.129,kWh,38041.32315,Cubic meter,"159,727.7"
#31 Police Division,35489,Square feet,168,751378.7335,kWh,43601.78788,Cubic meter,"154,597.1"
#32 Police Division,47652,Square feet,168,699745.2059,kWh,40851.09229,Cubic meter,"144,437.7"
#33 Police Division,27889,Square feet,168,430692.6023,kWh,24324.292,Cubic meter,"87,351.9"
#41 Police Division,52183,Square feet,168,795677.3235,kWh,94810.08203,Cubic meter,"255,667.4"
#42 Police Division,41990,Square feet,168,627370.697,kWh,43509.51548,Cubic meter,"142,512.9"
#43 Police Division,51990,Square feet,168,868839.7167,kWh,58814.11693,Cubic meter,"194,638.9"
#51 Police Division New,47899,Square feet,168,1579012.013,kWh,115179.8104,Cubic meter,"369,410.4"
#52 Police Division,71677,Square feet,168,1067401.903,kWh,56931.24375,Cubic meter,"210,149.0"
#53 Police Division,52183,Square feet,168,791121.6516,kWh,33526.52656,Cubic meter,"139,365.5"
#54 Police Division,23358,Square feet,168,491723.2798,kWh,51480.27613,Cubic meter,"144,555.1"
#55 Police Division,23519,Square feet,168,499853.5667,kWh,18559.88972,Cubic meter,"83,095.8"
Bail and Parole Enforcement Office,8105,Square feet,168,,,9721.518235,Cubic meter,"18,379.8"
C.O Bick College,92849,Square feet,168,213463.5381,kWh,85738.9825,Cubic meter,"182,601.5"
Centre Island Marine Unit,1001,Square feet,168,1995.980392,kWh,,,191.7
Centre Island Police Division,1001,Square feet,168,17198,kWh,,,"1,651.7"
Cherry Beach Life Stn,495,Square feet,168,19010.58357,kWh,,,"1,825.8"
Detective Services Building,172190,Square feet,168,407592.0941,kWh,10889.16177,Cubic meter,"59,732.5"
Emergency Task Force,35995,Square feet,168,624530.7353,kWh,64268.89765,Cubic meter,"181,488.4"
"Forensic Service, Store & Garage",62484,Square feet,168,1679779.845,kWh,159596.3514,Cubic meter,"463,063.2"
Humber Bay Life Stn,1475,Square feet,168,21754.125,kWh,,,"2,089.3"
Intelligence Bureau,70547,Square feet,168,1677850,kWh,72588.35487,Cubic meter,"298,378.2"
Leuty Beach,495,Square feet,168,76753.18215,kWh,,,"7,371.4"
Police Academy,296987,Square feet,168,2809545.323,kWh,376682.6314,Cubic meter,"981,995.1"
Police Dog Service,9203,Square feet,168,144242.3542,kWh,9634.725,Cubic meter,"32,068.7"
Police Garage,33024,Square feet,168,349245.7922,kWh,58971.95015,Cubic meter,"145,035.5"
Police Headquarters,299990,Square feet,168,10142325.9,kWh,333962.8274,Cubic meter,"1,694,817.6"
Police Marine Hq,22992,Square feet,168,352956.7684,kWh,28098.5,Cubic meter,"87,021.8"
Property Bureau,43992,Square feet,168,493547.4793,kWh,49102.80319,Cubic meter,"140,235.4"
Property Evidence Unit,287741,Square feet,168,1394322.692,kWh,85212.745,Cubic meter,"295,016.3"
Public Complaints Bureau,9182,Square feet,168,117884.8341,kWh,,,"11,321.7"
Public Order,8342,Square feet,168,166959.6857,kWh,9596.12379,Cubic meter,"34,177.5"
Traffic Services and Garage,297988,Square feet,168,2741716.482,kWh,335233.1333,Cubic meter,"897,115.3"
Agincourt District,26996,Square feet,70,664953.1662,kWh,3797.502673,Cubic meter,"71,041.8"
Albert Campbell District,26102,Square feet,70,486029.6382,kWh,12028.33192,Cubic meter,"69,419.4"
Albion,32281,Square feet,70,409176.6339,kWh,34303.41882,Cubic meter,"104,152.3"
Amesbury Park Library,6318,Square feet,70,109502.8125,kWh,11325.65086,Cubic meter,"31,929.2"
Annette Street,7804,Square feet,70,172387.0149,kWh,7952.524195,Cubic meter,"31,591.3"
Barbara Frum,39224,Square feet,70,887249.8529,kWh,61352.41427,Cubic meter,"201,206.0"
Bayview,6340,Square feet,70,128244.725,kWh,,,"12,316.6"
Beaches,7804,Square feet,70,144374.5406,kWh,11534.08349,Cubic meter,"35,672.4"
Bendale,8503,Square feet,70,102043.5235,kWh,8084.224599,Cubic meter,"25,084.5"
Black Creek,7093,Square feet,70,51516.86652,kWh,2037.724138,Cubic meter,"8,800.3"
Bloor Gladstone,20624,Square feet,70,369237.5484,kWh,40648.38947,Cubic meter,"112,312.5"
Brentwood,13616,Square feet,70,111600.8379,kWh,,,"10,718.1"
Brookbanks,7933,Square feet,70,101618.8105,kWh,22333.03226,Cubic meter,"51,982.9"
Cedarbrae,26199,Square feet,70,481263.8387,kWh,34561.50177,Cubic meter,"111,563.5"
Centennial,6867,Square feet,70,119502.4741,kWh,8475.023461,Cubic meter,"27,500.1"
Cliffcrest,4898,Square feet,70,98340.46875,kWh,8198.824544,Cubic meter,"24,945.5"
College Shaw,7685,Square feet,70,69788.375,kWh,9360.617646,Cubic meter,"24,399.9"
Danforth Coxwell,9612,Square feet,70,128725.9644,kWh,6191.866081,Cubic meter,"24,069.4"
Dawes Road,6501,Square feet,70,141876.9472,kWh,,,"13,625.9"
Deer Park,16576,Square feet,70,360537.5941,kWh,25820.56515,Cubic meter,"83,443.1"
Don Mills,21560,Square feet,70,388840.2529,kWh,22837.04788,Cubic meter,"80,520.6"
Downsview,20021,Square feet,70,286761.5394,kWh,15239.10606,Cubic meter,"56,352.0"
Dufferin St Clair,8966,Square feet,70,112780.6064,kWh,13478.14326,Cubic meter,"36,313.6"
Eatonville,12217,Square feet,70,159081.3247,kWh,16168.15424,Cubic meter,"45,846.1"
Eglinton Square,4715,Square feet,70,68602.75936,kWh,,,"6,588.6"
Elmbrook Park,3595,Square feet,70,52585.09524,kWh,1922.871658,Cubic meter,"8,685.7"
Evelyn Gregory,6200,Square feet,70,77907.83633,kWh,12479.27344,Cubic meter,"31,075.9"
Fairview Mall,64670,Square feet,70,1265805.794,kWh,95149.65954,Cubic meter,"301,460.5"
Gerrard Ashdale,6501,Square feet,70,58596.89435,kWh,7056.294118,Cubic meter,"18,968.5"
Goldhawk Park,7998,Square feet,70,249829.4957,kWh,12157.56916,Cubic meter,"46,979.1"
Guildwood,3014,Square feet,70,27012.55613,kWh,2238.180147,Cubic meter,"6,825.8"
High Park Public Library,9494,Square feet,70,131458.1161,kWh,17644.06732,Cubic meter,"45,983.6"
Highland Creek,6997,Square feet,70,104658.1429,kWh,5089.225288,Cubic meter,"19,673.2"
Hillcrest,7470,Square feet,70,126479.6496,kWh,16931.29018,Cubic meter,"44,157.9"
Humber Bay,2400,Square feet,70,37001.98242,kWh,2066.63793,Cubic meter,"7,460.9"
Humber Summit,9042,Square feet,70,100616.1152,kWh,9597.058823,Cubic meter,"27,807.6"
Jane & Dundas,11603,Square feet,70,126694.8409,kWh,12353.9871,Cubic meter,"35,524.6"
Jane Sheppard,6997,Square feet,70,109507.3247,kWh,3676.878788,Cubic meter,"17,468.7"
Jones,3638,Square feet,70,44082.97266,kWh,9706.977143,Cubic meter,"22,586.0"
Kennedy Eglinton,7653,Square feet,70,111696.5897,kWh,68.058824,Cubic meter,"10,856.0"
Leaside,11991,Square feet,70,203617.3235,kWh,19383.44861,Cubic meter,"56,202.3"
Lillian H Smith,38933,Square feet,70,1011938.097,kWh,142161.736,Cubic meter,"365,961.4"
Locke,11647,Square feet,70,201108.8529,kWh,58314.16047,Cubic meter,"129,564.8"
Long Branch,5296,Square feet,70,67436.34836,kWh,7777.003921,Cubic meter,"21,180.0"
Main Street,8665,Square feet,70,86906.12991,kWh,5974.264705,Cubic meter,"19,641.6"
Maria A Shchuka,25457,Square feet,70,247486.2751,kWh,22206.36782,Cubic meter,"65,752.5"
Martin Ross Serv Bldg,27997,Square feet,70,1621994.877,kWh,38696.75554,Cubic meter,"228,937.5"
Maryvale,4424,Square feet,70,43330.68485,kWh,7492.259715,Cubic meter,"18,326.5"
McGregor Park,5005,Square feet,70,,,9976.656,Cubic meter,"18,862.1"
Mimico,17470,Square feet,70,85373.24263,kWh,21425.29204,Cubic meter,"48,706.5"
Morningside,6997,Square feet,70,112908.484,kWh,3235.405434,Cubic meter,"16,960.7"
Mount Dennis,11345,Square feet,70,53473.96164,kWh,5296.242424,Cubic meter,"15,148.9"
Mount Pleasant,5834,Square feet,70,60767.07572,kWh,5662.262888,Cubic meter,"16,541.3"
New Toronto,9935,Square feet,70,135210.2118,kWh,9252.869269,Cubic meter,"30,479.3"
North York Central,168014,Square feet,70,2475997.903,kWh,137025.0942,Cubic meter,"496,858.2"
Northern District,45800,Square feet,70,2630023.523,kWh,140610.3117,Cubic meter,"518,429.1"
Northern Elms,3035,Square feet,70,44685.3871,kWh,809.529412,Cubic meter,"5,822.1"
