Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Main Square Comm Ctr,35123,Square feet,100,571379.4073,kWh,80688.11777,Cubic meter,"174,235"
Masaryk-Cowan C.R.C,32270,Square feet,100,591217.5425,kWh,29122.22857,Cubic meter,"80,249"
McGregor Park C.C,45262,Square feet,100,785564.1428,kWh,70350.28571,Cubic meter,"164,873"
Metro Track And Field,96337,Square feet,100,0,kWh,133906.2115,Cubic meter,"246,387"
Mid-Scarborough C.C,89125,Square feet,100,1954677.96,kWh,150507.5394,Cubic meter,"365,090"
Mount Dennis Community Ctr,3003,Square feet,100,54124.56487,kWh,5581.373262,Cubic meter,"12,711"
New Tor Seniors Club,3025,Square feet,100,55252.09952,kWh,0,Cubic meter,"2,492"
Niagara C.C,5296,Square feet,100,53358.13704,kWh,0,Cubic meter,"2,406"
North Toronto Mem Rec Ctr,74820,Square feet,100,1721327.954,kWh,231547.5581,Cubic meter,"503,679"
North York Memorial Hall,10473,Square feet,100,31653,kWh,0,Cubic meter,"1,428"
Northwood C.C,36167,Square feet,100,308248.7608,kWh,62582.94309,Cubic meter,"129,055"
O'Connor C.C,16254,Square feet,100,247703.7919,kWh,44113.03059,Cubic meter,"92,339"
Oakdale Community Center,10000,Square feet,100,196982.9625,kWh,31505.52793,Cubic meter,"66,854"
Oakridge C.C,18600,Square feet,100,277736.5146,kWh,26918.96765,Cubic meter,"62,057"
Ourland Community Ctr,9451,Square feet,100,209938.0171,kWh,26222.60377,Cubic meter,"57,718"
Port Union C.C,19978,Square feet,100,436422.3887,kWh,38793.73207,Cubic meter,"91,063"
Power House C.C.,5737,Square feet,100,321751.3127,kWh,0,Cubic meter,"14,511"
Ralph Thornton Community Ctr,17061,Square feet,100,376224.3099,kWh,7772.322286,Cubic meter,"31,269"
Regent Park North R.C,6168,Square feet,100,53668.74882,kWh,0,Cubic meter,"2,420"
Scadding Court Community Ctr,46694,Square feet,100,751013.8661,kWh,132465.657,Cubic meter,"277,608"
Scarborough Village C.C,58125,Square feet,100,1016308.538,kWh,38358.71612,Cubic meter,"116,416"
Scott Westney House,3046,Square feet,100,146958.2718,kWh,0,Cubic meter,"6,628"
Seneca Village C.C,9408,Square feet,100,155559.7067,kWh,0,Cubic meter,"7,016"
Sir Adam Beck,7341,Square feet,100,43288.99584,kWh,9778.117647,Cubic meter,"19,944"
St James Town C.C.,41904,Square feet,100,860566.9955,kWh,94300.80052,Cubic meter,"212,325"
St Lawrence C.C,46113,Square feet,100,965578.5658,kWh,281681.4206,Cubic meter,"561,841"
Stanley C.C,12895,Square feet,100,226546.3569,kWh,25353.70588,Cubic meter,"56,868"
Stephen Leacock Arena,41818,Square feet,100,0,kWh,97673.78382,Cubic meter,"179,720"
Sunnybrook Park,43701,Square feet,100,761877.8784,kWh,82652.68824,Cubic meter,"186,442"
Sunshine Center for Seniors,2250,Square feet,100,37652.52485,kWh,0,Cubic meter,"1,698"
Tall Pines C.C,5188,Square feet,100,58911.32529,kWh,5751.235862,Cubic meter,"13,239"
Tam Heather C.C,28546,Square feet,100,826576.2766,kWh,27974.93863,Cubic meter,"88,752"
Thistletown C.C,44810,Square feet,100,360259.989,kWh,102341.2276,Cubic meter,"204,556"
Warden Hilltop C.C.,25995,Square feet,100,459142.8848,kWh,21326.23648,Cubic meter,"59,948"
West Rouge C.C,24402,Square feet,100,234032.7752,kWh,43250,Cubic meter,"90,135"
