Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Gamble Park,0,Square feet,100,5376.669565,kWh,0,Cubic meter,237
Gardiner Expressway,0,Square feet,70,1468340.114,kWh,0,Cubic meter,"64,607"
Gateway Park,0,Square feet,168,4649.737139,kWh,0,Cubic meter,205
Geary Ave Parkette,0,Square feet,100,2741.751847,kWh,0,Cubic meter,121
Geary Ave Parkette W.Pool,0,Square feet,100,3655.669591,kWh,0,Cubic meter,161
George Bell Arena,41786,Square feet,100,0,kWh,0,Cubic meter,"35,349"
George Webster Clubhouse,1302,Square feet,100,4428.044381,kWh,1532.229412,Cubic meter,"3,091"
Gerrard Ashdale,6501,Square feet,70,61671.99774,kWh,6891.022059,Cubic meter,"15,738"
Gibson House Museum,8364,Square feet,100,101284.8605,kWh,0,Cubic meter,"4,457"
Gihon Spring Pool,1873,Square feet,100,30794.11033,kWh,3462,Cubic meter,"7,898"
Giltspur Park,0,Square feet,100,988.83,kWh,0,Cubic meter,44
Giovanni Caboto Pool/Rink,55400,Square feet,100,699486.1458,kWh,12815.92473,Cubic meter,"54,999"
Glamorgan Park,0,Square feet,100,22566.97661,kWh,0,Cubic meter,993
Glen Rouge Park,2013,Square feet,100,226341.7069,kWh,0,Cubic meter,"9,959"
Glen Stewart Av Park,0,Square feet,100,4931.650912,kWh,0,Cubic meter,217
Glendora Park,0,Square feet,100,3178.90651,kWh,0,Cubic meter,140
Glenlong C.C & A.I.R,10236,Square feet,100,429177.754,kWh,43674.81919,Cubic meter,"101,429"
Goldhawk Park,7998,Square feet,70,294899.6888,kWh,17948.7061,Cubic meter,"46,899"
Gord & Irene Risk Arena & R.C,44304,Square feet,100,688020.5177,kWh,73642.1698,Cubic meter,"169,457"
Goulding Arena & R.C,43540,Square feet,100,696197.7061,kWh,61336.51405,Cubic meter,"146,559"
Gracedale Park,0,Square feet,100,34322.46326,kWh,0,Cubic meter,"1,510"
Grafton Parkette,0,Square feet,100,913.916268,kWh,0,Cubic meter,40
Grand River Sewage Pumping Station,0,Square feet,168,4926.109885,kWh,0,Cubic meter,217
Grandravine Arena & R.C,33637,Square feet,100,611331.106,kWh,79326.17061,Cubic meter,"176,825"
Grange Park FH / WR,1679,Square feet,100,15504.92002,kWh,5338.354667,Cubic meter,"10,772"
Grattan Park,0,Square feet,100,1311.921661,kWh,0,Cubic meter,58
Graydon Hall Tennis,0,Square feet,100,8136.111297,kWh,0,Cubic meter,358
Greenfield - Longmore Lands,0,Square feet,168,2708.874744,kWh,0,Cubic meter,119
Greenfield Family Centre,7384,Square feet,168,67166.92102,kWh,6262.157482,Cubic meter,"14,791"
Greenfield Park,0,Square feet,168,2168.8452,kWh,0,Cubic meter,95
Greenwood Park,21130,Square feet,100,579465.4652,kWh,29430.06869,Cubic meter,"81,119"
Greyabbey Trail Sewage Pumping Station,1001,Square feet,168,51753.18266,kWh,0,Cubic meter,"2,277"
Greystone Park,0,Square feet,100,3945.081716,kWh,0,Cubic meter,174
Guildwood,3014,Square feet,70,35154.48615,kWh,1976.991848,Cubic meter,"5,283"
Gus Ryder Pool and Health Club,21097,Square feet,100,793554.4455,kWh,133548.779,Cubic meter,"287,324"
Gwendolen Park Tennis,1916,Square feet,100,36838.84332,kWh,0,Cubic meter,"1,621"
Gzowski Monument,0,Square feet,100,2733.630888,kWh,0,Cubic meter,120
Habitant Arena,26307,Square feet,100,346340.8549,kWh,60321.92711,Cubic meter,"129,247"
Halbert Park,3150,Square feet,100,9857.384162,kWh,0,Cubic meter,434
Hamilton Street Yard,2756,Square feet,70,72924.07881,kWh,0,Cubic meter,"3,209"
Hanlan's Point Buildings,7524,Square feet,100,314794.1463,kWh,0,Cubic meter,"13,851"
Harbour Square WR,829,Square feet,100,60722.72629,kWh,0,Cubic meter,"2,672"
Harrison Pool,15263,Square feet,100,234827.1795,kWh,18386.90868,Cubic meter,"45,084"
Harryetta Gardens,0,Square feet,100,663.240025,kWh,0,Cubic meter,29
Harwood Hall Community Ctr,4306,Square feet,100,28907.15404,kWh,10859.58044,Cubic meter,"21,797"
Havenbrook Park Tennis,1916,Square feet,100,45938.85613,kWh,0,Cubic meter,"2,021"
Hazeldean Park,0,Square feet,100,6397.424183,kWh,0,Cubic meter,281
Health Materials Warehouse,22604,Square feet,70,46596.52085,kWh,22536.66429,Cubic meter,"44,645"
Health Office,2540,Square feet,70,0,kWh,753.209032,Cubic meter,"2,084"
Hendon Park,2056,Square feet,100,51626.29361,kWh,87,Cubic meter,"2,436"
Herbert Carnegie Centennial Arena,42270,Square feet,100,716106.0072,kWh,118720.061,Cubic meter,"255,890"
Heron Park C.C,52377,Square feet,100,1099105.847,kWh,83907.21065,Cubic meter,"206,945"
Hickory Tree,0,Square feet,100,19493.33838,kWh,0,Cubic meter,858
Hickory Tree Lawn Fountain,0,Square feet,100,62790.1909,kWh,0,Cubic meter,"2,763"
Hideaway Park,194,Square feet,100,2758.620092,kWh,0,Cubic meter,121
High Level Pumping Station,46403,Square feet,168,10650332.18,kWh,0,Cubic meter,"468,615"
High Park,0,Square feet,100,439565.6141,kWh,20389.78135,Cubic meter,"57,878"
High Park - Lot Cytor,0,Square feet,168,32140.04698,kWh,0,Cubic meter,"1,414"
High Park Greenhouses,60386,Square feet,168,569492.47,kWh,476105.2623,Cubic meter,"924,897"
High Park Ice Rink,0,Square feet,100,488050.8775,kWh,0,Cubic meter,"21,474"
High Park Library,9494,Square feet,70,169397.8676,kWh,12228.85294,Cubic meter,"30,566"
High Park Tennis Club,0,Square feet,100,47312.04506,kWh,7802.595588,Cubic meter,"16,829"
High Park Valleymede Sewage Pumping Stn,0,Square feet,168,60368.60024,kWh,0,Cubic meter,"2,656"
Highfield Sewage Pumping Station,0,Square feet,168,209.449251,kWh,0,Cubic meter,9
Highland Creek,6997,Square feet,70,137443.4889,kWh,7240.73,Cubic meter,"19,732"
Highland Creek Bwlng,0,Square feet,100,2475.719645,kWh,0,Cubic meter,109
Highland Creek Treatment Plant,255395,Square feet,168,32762924.66,kWh,7354305.281,Cubic meter,"15,341,206"
Highview Park,0,Square feet,100,42619.94677,kWh,0,Cubic meter,"1,875"
Hillcrest,7470,Square feet,70,127924.9559,kWh,15265.5065,Cubic meter,"34,481"
Hillcrest Park,1604,Square feet,100,54457.25569,kWh,591.4375,Cubic meter,"3,514"
Hillsdale Ave Parkette,0,Square feet,100,767.387297,kWh,0,Cubic meter,34
Hinder Property,1012,Square feet,100,50019.05188,kWh,0,Cubic meter,"2,201"
Historic Fort York,22819,Square feet,100,848401.1909,kWh,31084.79545,Cubic meter,"96,080"
Hodgson School,2874,Square feet,100,227962.9847,kWh,2627.818182,Cubic meter,"14,997"
Hollis Childcare Centre,5576,Square feet,100,54278.33829,kWh,9378.920001,Cubic meter,"20,114"
Hollywood Park Tennis,1668,Square feet,100,0,kWh,2300.02944,Cubic meter,"5,423"
Home Smith Park Wr,431,Square feet,100,12542.01972,kWh,0,Cubic meter,552
Horner Avenue Senior Centre,4252,Square feet,100,24059.55847,kWh,4546.310303,Cubic meter,"9,651"
HTO Park,0,Square feet,100,33501.37051,kWh,0,Cubic meter,"1,474"
Humber Bay,2400,Square feet,70,44382.64563,kWh,2796.018182,Cubic meter,"7,237"
Humber Bay Life Stn,1830,Square feet,168,49994.7946,kWh,0,Cubic meter,"2,200"
Humber Bay Park East,2551,Square feet,100,89274.53185,kWh,0,Cubic meter,"3,928"
Humber Bay Park West,3875,Square feet,100,76716.58483,kWh,2942.633332,Cubic meter,"8,937"
Humber Bay Park West Trail,0,Square feet,100,30110.52097,kWh,0,Cubic meter,"1,325"
Humber Sewage Pumping Station,0,Square feet,168,12200.6207,kWh,0,Cubic meter,537
Humber Summit,9042,Square feet,70,125847.7878,kWh,8329.499801,Cubic meter,"21,280"
Humber Treatment Plant,224869,Square feet,168,52764325.28,kWh,1402749.426,Cubic meter,"4,972,827"
Humber Valley Gc Serv.bldg,4080,Square feet,100,54321.452,kWh,0,Cubic meter,"2,390"
Humber Valley Golf Course,4327,Square feet,100,69501.04109,kWh,34854.28519,Cubic meter,"68,933"
Humber Valley Rink,0,Square feet,100,195163.6082,kWh,9109.916926,Cubic meter,"25,805"
Huron St Plaground,0,Square feet,100,2284.7938,kWh,0,Cubic meter,101
HUSAR,11485,Square feet,168,201581.1668,kWh,18794.6103,Cubic meter,"44,391"
Ingram Drive Transfer Station,112268,Square feet,70,1489876.44,kWh,56283.21019,Cubic meter,"171,930"
Ingram Works Yard,23907,Square feet,70,356155.0804,kWh,47422.12903,Cubic meter,"105,299"
Intelligence Bureau,70547,Square feet,168,1639956.891,kWh,73851.86936,Cubic meter,"211,738"
Iroquois Fieldhouse,0,Square feet,100,5791.200368,kWh,0,Cubic meter,255
Island Filtration Plant,64196,Square feet,168,8691249.398,kWh,41771.50278,Cubic meter,"461,363"
Island Rd Sewage Pumping Station,0,Square feet,168,18515.76036,kWh,0,Cubic meter,815
Islington Senior Centre,9967,Square feet,100,107129.2373,kWh,7314.265714,Cubic meter,"18,538"
Islington Storm Pumping Station,450,Square feet,168,34515.8896,kWh,0,Cubic meter,"1,519"
Ivan Forrest Gardens,0,Square feet,100,90.533145,kWh,0,Cubic meter,4
Jack Goodlad Park,2271,Square feet,100,74453.55478,kWh,2645.954978,Cubic meter,"8,277"
James Gardens,2411,Square feet,100,56207.12612,kWh,5871.594383,Cubic meter,"13,570"
Jane & Dundas,11603,Square feet,70,149456.4034,kWh,10281.97849,Cubic meter,"26,009"
Jane Sheppard,6997,Square feet,70,147090.6098,kWh,5939.570533,Cubic meter,"17,698"
Jean Augustine Park,0,Square feet,100,6929.696376,kWh,0,Cubic meter,305
Jean Sibelius Square,183,Square feet,100,10735.63618,kWh,0,Cubic meter,472
Jeff Healey Park,0,Square feet,100,2931.006376,kWh,0,Cubic meter,129
Jenner Jean-Marie C.C.,13207,Square feet,100,129119.51,kWh,29301.90157,Cubic meter,"61,062"
Jesse Ketchum Childcare Centre,11550,Square feet,100,24857.6433,kWh,25805.51133,Cubic meter,"49,866"
Jimmie Simpson R.C,43906,Square feet,100,1053048.683,kWh,182559.3658,Cubic meter,"391,371"
Joel Weeks Park - Storage Bldg,183,Square feet,70,11825.59025,kWh,0,Cubic meter,520
John Booth Arena & R.C,27007,Square feet,100,482582.9816,kWh,42225.61734,Cubic meter,"101,040"
John Innes C.C,24176,Square feet,100,453420.1186,kWh,69660.02954,Cubic meter,"151,608"
John Innes Community Recreation Centre,28055,Square feet,100,99361.7684,kWh,0,Cubic meter,"4,372"
John Street Pumping Station,112773,Square feet,168,43888778.16,kWh,0,Cubic meter,"1,931,106"
John Tabor Park,0,Square feet,100,3220.327576,kWh,0,Cubic meter,142
Jonathan Ashbridge Park,0,Square feet,100,9139.178271,kWh,0,Cubic meter,402
Jones,3638,Square feet,70,58217.17016,kWh,10434.10368,Cubic meter,"22,282"
Joseph Bannon Park,0,Square feet,100,73409.38141,kWh,0,Cubic meter,"3,230"
Joseph J. Piccininni R.C,70030,Square feet,100,851121.681,kWh,144738.9585,Cubic meter,"311,006"
Joseph Sheard Parkette,0,Square feet,100,913.915574,kWh,0,Cubic meter,40
June Callwood Park,0,Square feet,100,11191.82573,kWh,0,Cubic meter,492
Kbs-Post S East  Parking Lot,0,Square feet,168,0,kWh,0,Cubic meter,"1,704"
Keele C.C,10000,Square feet,100,9447.096035,kWh,0,Cubic meter,416
Keele Pumping Station,2745,Square feet,168,6838837.903,kWh,0,Cubic meter,"300,909"
Keele Valley Landfill,10764,Square feet,70,1334258.058,kWh,0,Cubic meter,"58,707"
Keelesdale Park,0,Square feet,100,148066.6655,kWh,0,Cubic meter,"6,515"
Kenaston Gardens,0,Square feet,100,5477.124633,kWh,0,Cubic meter,241
Kennedy Eglinton,7653,Square feet,70,120050.6257,kWh,616.088235,Cubic meter,"6,447"
Kennedy Park Sewage Pumping Station,151,Square feet,168,15310.39064,kWh,0,Cubic meter,674
Kennedy Pumping Station,5360,Square feet,168,3869647.013,kWh,0,Cubic meter,"170,264"
Kew Gardens Outdoor Rink,797,Square feet,100,283936.1008,kWh,0,Cubic meter,"12,493"
Kew Gardens Park,18406,Square feet,100,269520.2004,kWh,11743.91221,Cubic meter,"34,055"
King St Garage,83485,Square feet,70,478316.0121,kWh,158231.1882,Cubic meter,"320,103"
Kingston Rd Sewage Pumping Station,0,Square feet,168,139291.6785,kWh,0,Cubic meter,"6,129"
Kipling Acres,184590,Square feet,168,3199538.944,kWh,461905.7355,Cubic meter,"1,013,782"
Kipling Maintenance Yard,27373,Square feet,70,195819.332,kWh,40526.34725,Cubic meter,"85,211"
Kipling Yard,11001,Square feet,70,454731.3889,kWh,40146.09647,Cubic meter,"95,884"
Kirkwood Park T.C,0,Square feet,100,14385.08557,kWh,0,Cubic meter,633
Kiwanis Pool Change Rooms,2939,Square feet,100,183212.179,kWh,0,Cubic meter,"8,061"
Knob Hill Park-ODP,3255,Square feet,100,16860.09333,kWh,0,Cubic meter,742
La Rose Park,0,Square feet,100,2013.536314,kWh,0,Cubic meter,89
Lake Front Boat Hse,0,Square feet,100,14847.33682,kWh,0,Cubic meter,653
Lakeshore Assembly Hall,14596,Square feet,100,284264.9723,kWh,33608.60242,Cubic meter,"76,028"
Lakeshore Community Ctr,5952,Square feet,100,120311.1166,kWh,0,Cubic meter,"5,294"
Lakeshore Lodge,88964,Square feet,168,1636031.943,kWh,174414.8839,Cubic meter,"401,630"
Lambton Kingsway Pool/Rink,1076,Square feet,100,246670.7693,kWh,7480,Cubic meter,"24,991"
Lambton Park Arena,24854,Square feet,100,464322.7003,kWh,32734.12833,Cubic meter,"82,298"
L'Amoreaux C.C,25995,Square feet,100,451154.1905,kWh,0,Cubic meter,"19,851"
L'Amoreaux Park Yard,1690,Square feet,100,51676.49836,kWh,0,Cubic meter,"2,274"
L'Amoreaux Sports Centre,24779,Square feet,100,0,0,3266.420929,Cubic meter,"6,174"
L'Amoreaux Tennis Club,31474,Square feet,100,1206671.156,kWh,105311.0604,Cubic meter,"252,131"
L'Amoreux Fieldhouse,0,Square feet,100,14563.56428,kWh,0,Cubic meter,641
Lamp Senior Centre,26318,Square feet,100,451243.5275,kWh,41516.13545,Cubic meter,"98,320"
Langford Parkette,0,Square feet,100,913.914992,kWh,0,Cubic meter,40
Lanyard Park - Flood Lights,0,Square feet,100,20250.8265,kWh,0,Cubic meter,891
Laura Park - Lights,0,Square feet,100,5856.046467,kWh,0,Cubic meter,258
Lawren Harris Square,0,Square feet,100,17601.2238,kWh,0,Cubic meter,774
Lawrence Heights C.C.,22152,Square feet,100,216730.2263,kWh,27158.81083,Cubic meter,"60,866"
Lawrence Pumping Station,15629,Square feet,168,3877585.886,kWh,0,Cubic meter,"170,614"
Leaside,11991,Square feet,70,207703.979,kWh,29005.61683,Cubic meter,"63,960"
Leaside Gardens,25586,Square feet,100,2115682.395,kWh,0,Cubic meter,"93,090"
Leaside Gardens Curling Club,27814,Square feet,100,0,0,10630.52538,Cubic meter,"20,092"
Leaside Lawn Bowling Club,2207,Square feet,100,9758.975929,kWh,0,Cubic meter,429
Leaside Park Pool,5662,Square feet,100,91404.38497,kWh,19713.33492,Cubic meter,"41,280"
Ledbury Community Center,5780,Square feet,100,189484.5038,kWh,18795.18811,Cubic meter,"43,860"
Leonard Linton Park,0,Square feet,100,3625.326104,kWh,0,Cubic meter,160
Leslie Grove Park,1389,Square feet,100,20345.77096,kWh,2652.911765,Cubic meter,"5,909"
Lessard Park,0,Square feet,100,1332.633714,kWh,0,Cubic meter,59
Leuty Beach,1000,Square feet,168,9492.5237,kWh,0,Cubic meter,418
Liberty Village Park,0,Square feet,100,13373.47414,kWh,0,Cubic meter,588
Lillian H Smith,38933,Square feet,70,1067331.291,kWh,182261.4444,Cubic meter,"391,437"
Lillian Park,0,Square feet,100,3223.8232,kWh,0,Cubic meter,142
Lisgar Park,0,Square feet,100,9200.195474,kWh,0,Cubic meter,405
Lithuania Park,1582,Square feet,100,7301.314396,kWh,0,Cubic meter,321
Little Norway Park,2540,Square feet,100,95969.23821,kWh,0,Cubic meter,"4,223"
Littles Park,0,Square feet,100,216.026494,kWh,0,Cubic meter,10
Livingston Rd Sewage Pumping Station,0,Square feet,168,137101.1776,kWh,0,Cubic meter,"6,032"
Locke,11647,Square feet,70,183028.9812,kWh,59407.44727,Cubic meter,"120,333"
Logan Ave Parkette,0,Square feet,100,0,kWh,0,Cubic meter,40
Long Branch,6415,Square feet,70,71679.62471,kWh,8238.954902,Cubic meter,"18,726"
Long Branch Arena,25629,Square feet,100,372200.2391,kWh,39002.14524,Cubic meter,"90,091"
Long Branch Park,0,Square feet,100,284.494016,kWh,0,Cubic meter,13
Long Branch Sewage Pumping Station,3068,Square feet,168,257819.7608,kWh,0,Cubic meter,"11,344"
Lora Hill Park,0,Square feet,100,2263.863978,kWh,0,Cubic meter,100
Lower Simcoe Pumping Station,0,Square feet,168,71779.19213,kWh,0,Cubic meter,"3,158"
Lytton Park,4306,Square feet,100,18616.39052,kWh,0,Cubic meter,819
Lytton Park Bowling Club,3229,Square feet,100,2470.257045,kWh,0,Cubic meter,109
MacGregor Park,0,Square feet,100,51357.25273,kWh,0,Cubic meter,"2,260"
Mackenzie House Museum,2573,Square feet,100,41260.47981,kWh,7285.008691,Cubic meter,"15,584"
Main Square Comm Ctr,35123,Square feet,100,608201.9463,kWh,108891.2906,Cubic meter,"232,565"
Main Street,8665,Square feet,70,84521.84075,kWh,7441.562499,Cubic meter,"17,784"
Main Treatment Plant,378438,Square feet,168,134991190,kWh,5758495.334,Cubic meter,"16,823,169"
Mainland Ferry Terminal,6135,Square feet,100,694128.6909,kWh,6665.598845,Cubic meter,"43,140"
Maintenance Yard #3,4618,Square feet,70,475045.1779,kWh,11033.60606,Cubic meter,"41,756"
Maintenance Yard #6,6135,Square feet,70,138413.3309,kWh,18298.13814,Cubic meter,"40,674"
Malta Park,0,Square feet,100,456.956776,kWh,0,Cubic meter,20
Malvern Childcare Centre,6501,Square feet,100,144297.0326,kWh,6081.08,Cubic meter,"17,842"
Malvern R.C,106466,Square feet,100,2597312.998,kWh,191074.3923,Cubic meter,"475,412"
Manchester Park,0,Square feet,100,9780.600706,kWh,0,Cubic meter,430
Maple Leaf A.I.R,2303,Square feet,100,103339.5778,kWh,0,Cubic meter,"4,547"
Maple Leaf Cottage,2842,Square feet,100,9836.236436,kWh,2490.529412,Cubic meter,"5,140"
Maple Leaf Quay Park,0,Square feet,100,87623.37057,kWh,0,Cubic meter,"3,855"
Maria A Shchuka,25475,Square feet,70,261050.8013,kWh,24608.01022,Cubic meter,"57,995"
Marie Curtis Park,3014,Square feet,100,53899.86968,kWh,0,Cubic meter,"2,372"
Markdale Rec & Daycare,1829,Square feet,100,7264.526168,kWh,4624.823529,Cubic meter,"9,061"
Martin Grove Gardens Park,0,Square feet,100,2608.205529,kWh,0,Cubic meter,115
Martin Grove House / Bungalow,4790,Square feet,100,8508.795288,kWh,1339.496575,Cubic meter,"2,906"
Martin Grove Sewage Pumping Station,0,Square feet,168,22853.95389,kWh,0,Cubic meter,"1,006"
Martingrove Rink (outdoor),4435,Square feet,100,246457.4819,kWh,12615.15796,Cubic meter,"34,687"
Maryland Park Tennis Clubhouse,0,Square feet,100,14531.11879,kWh,0,Cubic meter,639
Marylin Bell Park Water Equipment Shed,700,Square feet,70,24571.84553,kWh,0,Cubic meter,"1,081"
Maryvale,4424,Square feet,70,63415.91512,kWh,3236.889176,Cubic meter,"8,908"
Maryvale Park,5100,Square feet,100,45274.76047,kWh,2516.745793,Cubic meter,"6,749"
Masaryk-Cowan C.R.C,32270,Square feet,100,325530.7049,kWh,28230.06863,Cubic meter,"67,678"
Matty Eckler R.C,47383,Square feet,100,541490.8381,kWh,126250.5936,Cubic meter,"262,439"
McCaul Parking Garage,53335,Square feet,168,13159.066,kWh,980.137931,Cubic meter,"2,431"
McCleary Park,603,Square feet,100,28039.9092,kWh,0,Cubic meter,"1,234"
McCormick Arena,37082,Square feet,100,1090796.554,kWh,0,Cubic meter,"47,995"
McCormick R.C,43099,Square feet,100,1090796.554,kWh,120363.311,Cubic meter,"275,482"
McDairmid Woods,301,Square feet,70,45428.75341,kWh,0,Cubic meter,"1,999"
McGregor Park C.C,45262,Square feet,100,943324.4804,kWh,44962.92391,Cubic meter,"126,486"
McNicoll Park,0,Square feet,100,23005.79446,kWh,0,Cubic meter,"1,012"
Mel Lastman Square,0,Square feet,100,310238.4177,kWh,0,Cubic meter,"13,650"
Memorial Park,0,Square feet,100,10994.83227,kWh,0,Cubic meter,484
Memorial Pool and Health Club,13444,Square feet,100,15420.8112,kWh,0,Cubic meter,679
Metro 27 Lighting,0,Square feet,168,347250.2095,kWh,0,Cubic meter,"15,279"
Metro Hall,787186,Square feet,70,9092052.906,kWh,0,Cubic meter,"1,631,146"
Metro Hall Square,0,Square feet,100,39864,kWh,0,Cubic meter,"1,754"
Metro Square Eternal Flame,0,Square feet,100,0,0,6401.275862,Cubic meter,"12,098"
Midland Sewage Pumping Station,0,Square feet,168,91317.34927,kWh,0,Cubic meter,"4,018"
Military Trail Sewage Pumping Station,0,Square feet,168,7012.825052,kWh,0,Cubic meter,309
Milliken Concession,4004,Square feet,100,126709.6777,kWh,0,Cubic meter,"5,575"
Milliken Park Rec Center,17631,Square feet,100,313820.6377,kWh,51308.42065,Cubic meter,"110,781"
Milliken Pumping Station,0,Square feet,168,4553460.973,kWh,0,Cubic meter,"200,352"
Millwood Park,0,Square feet,100,17726.85456,kWh,0,Cubic meter,780
Mimico,17470,Square feet,70,94434.20073,kWh,23654.36545,Cubic meter,"48,862"
Mimico Arena,35607,Square feet,100,505661.4595,kWh,43097.82121,Cubic meter,"103,704"
Mimico Memorial Park,0,Square feet,100,8628.610041,kWh,0,Cubic meter,380
Mimico Sewage Pumping Station,4435,Square feet,168,773800.6574,kWh,0,Cubic meter,"34,047"
Mitchell Field Arena,30182,Square feet,100,903543.5592,kWh,61259.95534,Cubic meter,"155,537"
Moatfield Farm Park,0,Square feet,100,26933.16066,kWh,0,Cubic meter,"1,185"
Monarch Park,22787,Square feet,100,28788.41779,kWh,0,Cubic meter,"1,267"
Monarch Park Pool,0,Square feet,100,681235.0533,kWh,23088.37013,Cubic meter,"73,611"
Monarch Park Serv Yard,13950,Square feet,70,81663.79527,kWh,0,Cubic meter,"3,593"
Montgomery's Inn,7642,Square feet,100,287182.74,kWh,0,Cubic meter,"12,636"
Moorevale Park,2390,Square feet,100,55546.29111,kWh,7318.723062,Cubic meter,"16,276"
Morningside,6997,Square feet,70,140213.3084,kWh,5415.599798,Cubic meter,"16,405"
Morningside Park,4392,Square feet,100,80460.42787,kWh,0,Cubic meter,"3,540"
Morningside Yard,14779,Square feet,70,515949.2947,kWh,32830.2623,Cubic meter,"84,751"
Morse St Playground,0,Square feet,100,1892.037243,kWh,0,Cubic meter,83
Moss Park Arena,22335,Square feet,100,934710.7748,kWh,0,Cubic meter,"41,127"
Mount Dennis,11345,Square feet,70,136350.5814,kWh,7785.80553,Cubic meter,"20,715"
Mount Dennis Community Ctr,3003,Square feet,100,48666.56846,kWh,4645.243047,Cubic meter,"10,921"
Mount Pleasant,5834,Square feet,70,71598.61032,kWh,8707.784926,Cubic meter,"19,608"
Mt Pleasant Parkette,0,Square feet,100,11662.624,kWh,0,Cubic meter,513
Muirhead Park,0,Square feet,100,11462.63576,kWh,0,Cubic meter,504
Murison Woods Park,0,Square feet,100,3874.157362,kWh,0,Cubic meter,170
Nashdene Yard,301,Square feet,70,25792.12648,kWh,0,Cubic meter,"48,074"
Nashdene Yard,301,Square feet,70,25792.12648,kWh,0,Cubic meter,"48,074"
Neilson Park,3251,Square feet,100,107611.5043,kWh,5586.043345,Cubic meter,"15,293"
Neilson Pk Creative Arts,12346,Square feet,100,174197.2907,kWh,15854.53604,Cubic meter,"37,630"
New Tor Seniors Club,3025,Square feet,100,53326.49501,kWh,0,Cubic meter,"2,346"
New Toronto,9924,Square feet,70,121711.7409,kWh,9638.207255,Cubic meter,"23,572"
New Toronto Pumping Station,2067,Square feet,168,277885.8726,kWh,0,Cubic meter,"12,227"
Niagara C.C,5296,Square feet,100,41956.16777,kWh,0,Cubic meter,"1,846"
Nightstar Park,0,Square feet,100,900.649303,kWh,0,Cubic meter,40
Norman Jewison Park,0,Square feet,168,4984.839219,kWh,0,Cubic meter,219
Norseman Community School and Pool,19052,Square feet,100,370914.6431,kWh,93690.70227,Cubic meter,"193,396"
North District Office,66747,Square feet,70,421997.3371,kWh,34799.63625,Cubic meter,"84,339"
North District Serv Yard,32044,Square feet,70,270223.4203,kWh,41074.83607,Cubic meter,"89,521"
North East District Salt Dome,9526,Square feet,70,218753.6829,kWh,0,Cubic meter,"9,625"
North Humber Park Lighting,0,Square feet,100,4287.756115,kWh,0,Cubic meter,189
North Linear Park,0,Square feet,100,37034.08379,kWh,0,Cubic meter,"1,629"
North Queen St Storm Pumping Station,676,Square feet,168,26104.11659,kWh,2490.029697,Cubic meter,"5,855"
North Toronto Mem Rec Ctr,74820,Square feet,100,1680413.685,kWh,209203.3609,Cubic meter,"469,333"
North Toronto Memorial Arena,44498,Square feet,100,296095.5249,kWh,0,Cubic meter,"13,028"
North Toronto Treatment Plant,21786,Square feet,168,2758147.234,kWh,0,Cubic meter,"121,358"
North York,27997,Square feet,70,1594266.301,kWh,23912.84685,Cubic meter,"115,343"
North York Animal Centre,13218,Square feet,168,317178.517,kWh,6419.061916,Cubic meter,"26,088"
North York Central,168014,Square feet,70,2468798.307,kWh,129759.3733,Cubic meter,"353,872"
North York Central Office,18934,Square feet,70,456832.4669,kWh,24045.99743,Cubic meter,"65,548"
North York Civic Centre,303518,Square feet,70,5554373.717,kWh,476582.7595,Cubic meter,"1,145,134"
North York Memorial Hall,10473,Square feet,100,214678.1132,kWh,11283.69574,Cubic meter,"30,772"
Northern District,114179,Square feet,70,2770133.773,kWh,105180.2916,Cubic meter,"320,677"
Northern Elms,3035,Square feet,70,53842.75773,kWh,1625.497326,Cubic meter,"5,441"
Northern Services Building,5769,Square feet,70,211090.9093,kWh,46699.42371,Cubic meter,"97,550"
Northline Parks and Garage,50041,Square feet,70,616551.6253,kWh,111633.2385,Cubic meter,"238,115"
Northwood C.C,36167,Square feet,100,368894.2881,kWh,49498.11,Cubic meter,"109,783"
Northwood Park,850,Square feet,100,14837.84147,kWh,0,Cubic meter,653
Norwood Park,1905,Square feet,100,7943.1013,kWh,5634.176973,Cubic meter,"10,998"
NW District Office & Garage,13153,Square feet,168,169969.0189,kWh,13874.51492,Cubic meter,"33,701"
Oakcrest Park,183,Square feet,100,2376.804889,kWh,0,Cubic meter,105
Oakdale Community Center,10000,Square feet,100,184791.4743,kWh,18769.06897,Cubic meter,"43,604"
Oakdale VIllage Park,0,Square feet,100,2715.500533,kWh,0,Cubic meter,119
Oakridge C.C,18600,Square feet,100,289073.4237,kWh,24646.4242,Cubic meter,"59,301"
Oakwood Village,17287,Square feet,70,169641.0779,kWh,11049.83637,Cubic meter,"28,348"
Oates Park,0,Square feet,100,4053.386803,kWh,0,Cubic meter,178
O'Connor C.C,16254,Square feet,100,256142.7614,kWh,31333.84816,Cubic meter,"70,491"
Old City Hall,350494,Square feet,70,3170091.639,kWh,0,Cubic meter,"1,294,719"
Old City Hall - Cenotaph,0,Square feet,168,9139.178945,kWh,0,Cubic meter,402
Old Eglinton Yard,66155,Square feet,70,504038.8465,kWh,111776.4143,Cubic meter,"233,435"
Old Orchard Park,0,Square feet,100,2597.511554,kWh,0,Cubic meter,114
Olympic Island Buildings,4725,Square feet,100,48214.72651,kWh,0,Cubic meter,"2,121"
