Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
5184 Yonge St Unit Undrg,0,Square feet,100,67.711768,kWh,0,Cubic meter,3
519 Church Park,0,Square feet,168,28595.8491,kWh,0,Cubic meter,"1,258"
519 Church St Comm Ctr,15554,Square feet,100,513681.9132,kWh,0,Cubic meter,"22,602"
53 Strachan Ave,49213,Square feet,100,387251.4669,kWh,0,Cubic meter,"17,039"
5341 Dundas St W,1862,Square feet,100,2081.831382,kWh,0,Cubic meter,92
55 John St LED Ltg,0,Square feet,168,4031405.761,kWh,0,Cubic meter,"177,382"
55 John St Ltg Beacon,0,Square feet,168,515053.5377,kWh,0,Cubic meter,"22,662"
55 York St,0,Square feet,168,0,kWh,0,Cubic meter,161
557 Palmerston Ave,0,Square feet,168,5412.63226,kWh,0,Cubic meter,238
5575 Yonge St,0,Square feet,100,3504.540959,kWh,0,Cubic meter,154
567 ARLINGTON,0,Square feet,100,23.057904,kWh,0,Cubic meter,1
573 Gerrard St E,0,Square feet,168,8441.953626,kWh,0,Cubic meter,371
653 Gerrard St E,0,Square feet,168,541.502824,kWh,0,Cubic meter,24
670 Pape Ave,0,Square feet,168,8272.233228,kWh,0,Cubic meter,364
675 Manning Ave,0,Square feet,168,3111.412709,kWh,0,Cubic meter,137
68 Amroth Ave,0,Square feet,168,4824.981259,kWh,0,Cubic meter,212
697 Lansdowne Ave,0,Square feet,168,5000.660835,kWh,0,Cubic meter,220
7 Bartlett Ave,0,Square feet,168,3296.979315,kWh,0,Cubic meter,145
70 Dunfield Ave,0,Square feet,168,972399.5929,kWh,0,Cubic meter,"42,786"
708 Millwood Rd,0,Square feet,168,1845.641534,kWh,0,Cubic meter,81
709 Millwood Rd,0,Square feet,168,66380.96041,kWh,0,Cubic meter,"2,921"
71 Ellis Park Rd,0,Square feet,168,3655.668431,kWh,0,Cubic meter,161
715 Bloor St E-Pole 133 Viewndr/,0,Square feet,70,911.424243,kWh,0,Cubic meter,40
72 Clinton St,0,Square feet,168,297188.8326,kWh,0,Cubic meter,"13,076"
720 Pape Ave,0,Square feet,168,9256.918583,kWh,0,Cubic meter,407
734 Middlefield Rd,0,Square feet,100,220.11753,kWh,0,Cubic meter,10
737 Rhodes Ave,0,Square feet,168,4741.716742,kWh,0,Cubic meter,209
751 Brimorton Dr,0,Square feet,100,196.111325,kWh,0,Cubic meter,9
77 Whitbread,0,Square feet,100,3135.523815,kWh,0,Cubic meter,138
8 Barkwin Dr,0,Square feet,168,3347.823334,kWh,0,Cubic meter,147
8 Carling Ave,0,Square feet,168,9196.68608,kWh,0,Cubic meter,405
8001 Finch,0,Square feet,168,3044.696446,kWh,0,Cubic meter,134
803 Richmond St W,0,Square feet,168,4564.617647,kWh,0,Cubic meter,201
804 Carlaw Ave,0,Square feet,168,3049.792529,kWh,0,Cubic meter,134
81 Lee Ave,0,Square feet,168,8459.383968,kWh,0,Cubic meter,372
833 Royal York,0,Square feet,70,2089.283735,kWh,0,Cubic meter,92
85 Bay St,0,Square feet,168,73838.34325,kWh,0,Cubic meter,"3,249"
873 Brimley Rd,0,Square feet,100,205.526616,kWh,0,Cubic meter,9
9 Emerson Ave,0,Square feet,168,4780.286034,kWh,0,Cubic meter,210
9 Salem Ave,0,Square feet,168,2270.855805,kWh,0,Cubic meter,100
90 Eaton Ave,0,Square feet,168,1843.114959,kWh,0,Cubic meter,81
91 Via Italia,0,Square feet,168,190017.4946,kWh,0,Cubic meter,"8,361"
912 Eglinton Ave W,0,Square feet,168,2151.098786,kWh,0,Cubic meter,95
924 Markham Rd,0,Square feet,100,206.560183,kWh,0,Cubic meter,9
946 Scarborough Golf Club Rd,0,Square feet,100,205.074195,kWh,0,Cubic meter,9
99 Cedarvale Ave,0,Square feet,168,4297.044012,kWh,0,Cubic meter,189
Abbotsford Park,0,Square feet,100,2666.859391,kWh,0,Cubic meter,117
Adams Park,0,Square feet,100,133354.8711,kWh,0,Cubic meter,"5,868"
Adelaide Street Office,15888,Square feet,168,272958.5371,kWh,35999.26844,Cubic meter,"80,049"
Advance Traffic Management,0,Square feet,168,1078391.59,kWh,0,Cubic meter,"47,449"
Agincourt Arena and R.C,93398,Square feet,100,2113400.107,kWh,286863.2168,Cubic meter,"635,161"
Agincourt District,26996,Square feet,70,604439.2283,kWh,5288.531194,Cubic meter,"36,591"
Albert Campbell District,26102,Square feet,70,516216.8364,kWh,12470.47668,Cubic meter,"46,283"
Albert Standing Park,0,Square feet,100,24901.93283,kWh,0,Cubic meter,"1,096"
Albion,32281,Square feet,70,355036.8666,kWh,38239.78966,Cubic meter,"87,895"
Albion Arena,32658,Square feet,100,429397.8971,kWh,27068.34672,Cubic meter,"70,053"
